                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.6234,                 1.1655,                0.97117,                0.82379,                0.77521,                0.84043,                 0.4432,                 1.5266,                0.98258,                0.96822,               0.005941,               0.005941,               0.005941
                    125,                 1.6158,                  1.179,                0.95765,                0.87388,                0.76662,                0.85121,                0.43638,                 1.5442,                0.96225,                0.97385,               0.005908,               0.005908,               0.005908
                    126,                 1.6725,                 1.1685,                0.97514,                0.86177,                0.75777,                0.84142,                0.44442,                 1.5351,                0.97046,                0.96871,               0.005875,               0.005875,               0.005875
                    127,                 1.6718,                 1.2108,                0.95736,                0.87236,                0.76688,                0.84537,                0.43652,                  1.528,                0.95715,                0.97514,               0.005842,               0.005842,               0.005842
                    128,                 1.6801,                  1.198,                0.98271,                0.85182,                0.77276,                0.83425,                0.42414,                 1.5619,                0.97779,                0.97038,               0.005809,               0.005809,               0.005809
                    129,                 1.6215,                 1.1834,                0.95992,                0.85803,                0.78088,                0.85147,                0.45013,                 1.4943,                0.94259,                0.96287,               0.005776,               0.005776,               0.005776
                    130,                  1.718,                  1.205,                 0.9832,                0.81627,                0.77874,                0.83368,                0.42703,                 1.5337,                 1.0382,                0.96886,               0.005743,               0.005743,               0.005743
                    131,                 1.6639,                 1.2538,                0.97077,                0.83706,                0.76122,                0.84232,                0.44835,                 1.5094,                0.96691,                0.96371,                0.00571,                0.00571,                0.00571
                    132,                 1.5829,                 1.1544,                 0.9918,                0.86945,                0.76786,                0.84932,                0.45793,                 1.4983,                0.94735,                0.96773,               0.005677,               0.005677,               0.005677
                    133,                 1.5903,                 1.1227,                0.99073,                0.85064,                0.76877,                0.84099,                0.43602,                 1.6014,                0.95087,                0.97721,               0.005644,               0.005644,               0.005644
                    134,                 1.6757,                 1.1535,                0.97821,                0.88405,                0.78027,                0.85925,                0.46493,                 1.4759,                0.91956,                0.96168,               0.005611,               0.005611,               0.005611
                    135,                 1.6062,                 1.1144,                0.97248,                0.88045,                0.78335,                0.84836,                  0.441,                 1.5672,                0.91995,                0.97075,               0.005578,               0.005578,               0.005578
                    136,                 1.6467,                 1.1385,                0.96485,                0.89458,                0.77867,                0.85982,                0.46117,                 1.4824,                0.92308,                0.95951,               0.005545,               0.005545,               0.005545
                    137,                  1.604,                 1.1222,                0.96222,                0.88351,                0.76809,                0.84984,                0.44647,                 1.5617,                0.94332,                0.97001,               0.005512,               0.005512,               0.005512
                    138,                 1.6613,                 1.1455,                0.98605,                0.89853,                0.78935,                0.87306,                0.46718,                 1.4777,                 0.9074,                0.96062,               0.005479,               0.005479,               0.005479
                    139,                 1.5898,                 1.1097,                 0.9654,                0.90321,                0.78135,                0.86242,                0.45302,                 1.5893,                0.91621,                0.98073,               0.005446,               0.005446,               0.005446
                    140,                  1.608,                 1.0979,                0.95433,                0.90503,                0.78916,                0.87173,                0.46223,                 1.4816,                0.90224,                0.96061,               0.005413,               0.005413,               0.005413
                    141,                  1.609,                 1.1047,                0.96414,                0.88415,                0.77685,                0.85538,                0.45255,                 1.5202,                0.92641,                 0.9568,                0.00538,                0.00538,                0.00538
                    142,                 1.5847,                 1.0884,                0.99525,                0.87924,                0.78096,                0.86906,                0.46439,                 1.4937,                0.94242,                0.95878,               0.005347,               0.005347,               0.005347
                    143,                 1.5773,                  1.102,                0.96636,                0.88994,                0.78849,                0.86068,                0.45534,                 1.5609,                 0.9257,                0.97836,               0.005314,               0.005314,               0.005314
                    144,                 1.6387,                 1.1746,                0.96608,                0.91093,                 0.7885,                0.87612,                 0.4745,                 1.4522,                 0.8868,                0.95212,               0.005281,               0.005281,               0.005281
                    145,                 1.5792,                 1.1234,                0.94687,                0.87052,                0.79542,                0.86229,                0.45561,                 1.5329,                0.91782,                0.96336,               0.005248,               0.005248,               0.005248
                    146,                 1.7018,                 1.1722,                 0.9388,                0.88034,                0.80933,                0.87375,                0.47081,                 1.4589,                0.89795,                0.95417,               0.005215,               0.005215,               0.005215
                    147,                 1.5737,                 1.1034,                0.96344,                0.87803,                0.76152,                0.85708,                0.46295,                  1.501,                0.95347,                0.95773,               0.005182,               0.005182,               0.005182
